player_name,team_name,minute,shot_statsbomb_xg,shot_outcome_name,shot_technique_name,shot_body_part_name,x,y,is_goal
Pablo Sarabia García,Getafe,83,0.034825306,Goal,Normal,Left Foot,102.1,27.7,1
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,85,0.007227903,Off T,Normal,Right Foot,81.7,32.6,0
James David Rodríguez Rubio,Real Madrid,87,0.20419239,Goal,Normal,Right Foot,108.7,43.6,1
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,91,0.83814484,Goal,Normal,Left Foot,107.8,31.2,1
Sergio Escudero Palomo,Sevilla,3,0.011674289,Saved,Normal,Left Foot,119.4,57.3,0
Karim Benzema,Real Madrid,5,0.08596268,Goal,Half Volley,Right Foot,106.3,37.9,1
Kevin Gameiro,Sevilla,7,0.08754849,Off T,Volley,Right Foot,106.9,51.5,0
Luka Modrić,Real Madrid,8,0.045475237,Blocked,Normal,Right Foot,97.2,36.0,0
Gareth Frank Bale,Real Madrid,15,0.022683095,Blocked,Normal,Left Foot,92.4,48.3,0
Gareth Frank Bale,Real Madrid,15,0.041042883,Saved to Post,Normal,Left Foot,98.6,42.4,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,16,0.07578247,Wayward,Normal,Head,110.6,44.7,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,18,0.017493503,Saved,Normal,Right Foot,97.7,22.5,0
Karim Benzema,Real Madrid,20,0.04232122,Saved,Normal,Head,109.3,43.0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,21,0.06963033,Saved,Normal,Right Foot,101.3,28.4,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,21,0.1231723,Wayward,Normal,Right Foot,108.2,39.2,0
Gareth Frank Bale,Real Madrid,23,0.085752204,Off T,Normal,Head,116.9,46.3,0
Kevin Gameiro,Sevilla,26,0.7835,Saved,Normal,Right Foot,108.1,40.1,0
Jorge Andújar Moreno,Sevilla,27,0.030884951,Blocked,Volley,Right Foot,113.6,53.8,0
Karim Benzema,Real Madrid,34,0.08221425,Saved,Normal,Right Foot,103.9,50.5,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,35,0.023412844,Saved,Normal,Right Foot,92.7,50.4,0
Marcelo Vieira da Silva Júnior,Real Madrid,43,0.039157573,Saved,Normal,Right Foot,100.9,30.3,0
Danilo Luiz da Silva,Real Madrid,44,0.024684196,Blocked,Normal,Right Foot,99.1,53.2,0
Karim Benzema,Real Madrid,48,0.11319298,Off T,Normal,Right Foot,103.3,46.7,0
Gareth Frank Bale,Real Madrid,51,0.036053173,Off T,Normal,Left Foot,95.6,37.0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,52,0.029785154,Blocked,Normal,Left Foot,98.9,51.4,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,57,0.7835,Off T,Normal,Right Foot,108.2,40.1,0
Gareth Frank Bale,Real Madrid,58,0.060491104,Off T,Normal,Left Foot,97.0,47.8,0
Toni Kroos,Real Madrid,58,0.032979026,Blocked,Half Volley,Right Foot,94.4,42.1,0
Gareth Frank Bale,Real Madrid,59,0.08693831,Post,Normal,Head,112.4,41.3,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,62,0.0122958105,Blocked,Normal,Right Foot,100.0,19.5,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,63,0.56290096,Goal,Half Volley,Left Foot,114.7,38.3,1
Karim Benzema,Real Madrid,65,0.5128023,Wayward,Lob,Right Foot,108.8,39.6,0
Gareth Frank Bale,Real Madrid,65,0.8208216,Goal,Half Volley,Right Foot,116.4,43.7,1
Kevin Gameiro,Sevilla,79,0.034421623,Off T,Normal,Right Foot,101.6,24.3,0
Sergio Escudero Palomo,Sevilla,81,0.18141587,Saved,Normal,Left Foot,110.8,29.3,0
Kevin Gameiro,Sevilla,84,0.0793259,Saved,Normal,Right Foot,108.0,47.0,0
Jesé Rodríguez Ruiz,Real Madrid,85,0.48695058,Goal,Normal,Right Foot,110.9,35.0,1
Benoît Trémoulinas,Sevilla,89,0.08280799,Off T,Volley,Left Foot,108.7,28.7,0
Marcelo Vieira da Silva Júnior,Real Madrid,0,0.06579164,Off T,Normal,Left Foot,114.5,27.2,0
Hernán Arsenio Pérez González,Espanyol,1,0.028234772,Blocked,Normal,Right Foot,94.8,49.6,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,2,0.06970105,Saved,Normal,Right Foot,98.4,36.3,0
Francisco Román Alarcón Suárez,Real Madrid,5,0.04641749,Off T,Half Volley,Right Foot,102.0,34.8,0
Karim Benzema,Real Madrid,6,0.11785649,Goal,Normal,Head,112.0,36.9,1
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,11,0.7835,Goal,Normal,Right Foot,108.1,40.0,1
James David Rodríguez Rubio,Real Madrid,15,0.050442394,Goal,Normal,Right Foot,101.3,50.3,1
Karim Benzema,Real Madrid,17,0.11053262,Off T,Half Volley,Right Foot,109.2,28.9,0
Hernán Arsenio Pérez González,Espanyol,18,0.036108892,Off T,Half Volley,Right Foot,104.9,56.5,0
Karim Benzema,Real Madrid,30,0.05915691,Blocked,Half Volley,Right Foot,106.7,48.9,0
James David Rodríguez Rubio,Real Madrid,33,0.03792506,Off T,Normal,Left Foot,90.3,49.3,0
Mamadou Sylla Diallo,Espanyol,36,0.08218937,Blocked,Normal,Right Foot,108.9,47.7,0
Joan Jordán Moreno,Espanyol,37,0.035216313,Off T,Normal,Head,106.9,40.2,0
Francisco Román Alarcón Suárez,Real Madrid,40,0.061700337,Blocked,Normal,Right Foot,105.0,31.4,0
James David Rodríguez Rubio,Real Madrid,40,0.0345299,Blocked,Half Volley,Left Foot,97.7,40.8,0
Salvador Sevilla López,Espanyol,44,0.2574516,Saved,Normal,Left Foot,109.6,34.8,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,44,0.15896082,Goal,Normal,Left Foot,101.6,43.3,1
Enzo Pablo Roco Roco,Espanyol,45,0.071483925,Off T,Normal,Head,110.9,41.3,0
Papa Kouly Diop,Espanyol,50,0.034217227,Saved Off Target,Normal,Head,105.0,37.3,0
Juan Rafael Fuentes Hernández,Espanyol,54,0.018549595,Saved,Normal,Left Foot,91.7,26.3,0
Francisco Román Alarcón Suárez,Real Madrid,55,0.026887072,Off T,Normal,Right Foot,98.5,24.1,0
Álvaro González Soberón,Espanyol,58,0.037584454,Saved Off Target,Normal,Head,106.2,37.2,0
Francisco Román Alarcón Suárez,Real Madrid,60,0.040913086,Blocked,Normal,Right Foot,98.0,33.6,0
Karim Benzema,Real Madrid,61,0.08086246,Saved,Normal,Head,111.1,36.9,0
Karim Benzema,Real Madrid,65,0.13452002,Wayward,Normal,Right Foot,109.7,29.0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,68,0.01106872,Off T,Normal,Right Foot,99.8,19.3,0
Abraham González Casanova,Espanyol,72,0.3891984,Saved,Half Volley,Right Foot,112.8,38.4,0
Mamadou Sylla Diallo,Espanyol,74,0.15599321,Blocked,Normal,Right Foot,105.3,49.2,0
Óscar Esau Duarte Gaitán,Espanyol,75,0.06630944,Blocked,Normal,Head,114.0,33.1,0
Papa Kouly Diop,Espanyol,75,0.024685599,Off T,Normal,Right Foot,88.8,46.0,0
Abraham González Casanova,Espanyol,79,0.20033203,Saved,Half Volley,Left Foot,110.5,46.2,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,81,0.5083977,Goal,Diving Header,Head,113.9,42.4,1
Joan Jordán Moreno,Espanyol,84,0.04177156,Saved,Normal,Right Foot,90.2,43.3,0
Giuseppe Rossi,Levante UD,4,0.20270881,Saved,Half Volley,Left Foot,110.1,34.5,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,4,0.030627638,Blocked,Normal,Left Foot,97.8,54.1,0
Giuseppe Rossi,Levante UD,5,0.09722244,Saved,Normal,Left Foot,99.1,40.5,0
Giuseppe Rossi,Levante UD,10,0.052799188,Off T,Normal,Left Foot,97.6,45.6,0
Lucas Vázquez Iglesias,Real Madrid,13,0.02144566,Off T,Volley,Left Foot,93.9,42.8,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,16,0.006269317,Off T,Normal,Right Foot,93.5,18.3,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,19,0.04805252,Saved,Half Volley,Right Foot,117.8,49.3,0
James David Rodríguez Rubio,Real Madrid,20,0.022705238,Blocked,Normal,Left Foot,96.1,30.8,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,25,0.08169031,Off T,Normal,Head,116.4,31.0,0
José Luis Morales Nogales,Levante UD,31,0.028306218,Off T,Normal,Right Foot,113.0,54.8,0
